AEE,ARF,DWM,EFDT,EVQ,HAT,HT,KNNI,LVQ,LVQ2,LVQ2.1,LVQ3,NB,OB,SEVQ,SFAM
0.5796291903858318,0.6482171094244148,0.5943469323213157,0.5796291903858318,0.6099264705882352,0.5796291903858318,0.5796291903858318,0.5677063567362429,0.5495098039215687,0.5351636622390892,0.5760752688172044,0.6250968532574319,0.5796291903858318,0.5564120809614168,0.6028700189753321,0.6457424098671727
0.6864093137254901,0.6089583333333333,0.6864093137254901,0.6864093137254901,0.6169485294117646,0.7360784313725491,0.6864093137254901,0.6604166666666668,0.6554166666666666,0.6102941176470588,0.529828431372549,0.6365808823529412,0.6864093137254901,0.6325000000000001,0.6169485294117646,0.6252205882352939
0.5672463130090248,0.5,0.5176645388509796,0.5,0.5297435615232224,0.4983766233766234,0.5084745762711864,0.5046866974833076,0.5,0.5852777166336488,0.5,0.5,0.5672463130090248,0.5057689485655587,0.5859931029422555,0.599695502237875
0.565265243231345,0.5,0.5474172719935431,0.5,0.5735563871157091,0.5,0.5,0.5385850025680534,0.5,0.5562495414190329,0.5,0.5,0.565265243231345,0.5306515518379926,0.5939265536723164,0.5690439503998826
0.4945141065830722,0.5,0.49725705329153597,0.5,0.5074264815644126,0.5,0.5,0.5048328108672936,0.5,0.5,0.5,0.5,0.4950552321241977,0.4989177489177489,0.4884870876250186,0.4814524555903866
0.547824302134647,0.5,0.5339043140767279,0.5,0.536535303776683,0.4994588744588744,0.5,0.5026683087027914,0.5,0.5,0.5,0.5,0.5472831765935214,0.5064561874906702,0.5552881027018958,0.5660732945215703
0.5505672488431109,0.5,0.5339043140767279,0.5236975668010151,0.5360314972383938,0.5258620689655172,0.5086206896551724,0.4994588744588744,0.5,0.5059150619495447,0.5,0.5,0.5505672488431109,0.4994588744588744,0.5629011792804897,0.5801425585908344
0.5489438722197344,0.5,0.525824749962681,0.5,0.5397820570234363,0.4962121212121212,0.4994588744588744,0.5086206896551724,0.5,0.5,0.5,0.5,0.5564823107926555,0.5086206896551724,0.5402485445588894,0.5504552918346022
0.5625355785298493,0.5,0.5052243054152817,0.5158657289237379,0.5270121380171512,0.506849440843234,0.5073911526525515,0.5088234754026112,0.5,0.5225223570890795,0.5,0.5,0.5630772903391668,0.5025157463686946,0.5342104779918101,0.5282516480893182
0.5419872560001469,0.5,0.5088234754026112,0.4989165763813651,0.5089795618561435,0.5,0.5,0.4929577464788733,0.5,0.5,0.5,0.5,0.5419872560001469,0.4994582881906826,0.5230273426740364,0.5058853774537708
